ID,Condition,Obs_1,Obs_2,Obs_3,Obs_4,Obs_5,Obs_6,Obs_7,Obs_8,Obs_9,Obs_10,Obs_11,Obs_12,Obs_13,Obs_14,Obs_15,Obs_16,Obs_17,Obs_18,Obs_19,Obs_20,Obs_21,Obs_22,Obs_23,Obs_24,Obs_25,Obs_26,Obs_27,Obs_28,Obs_29,Obs_30,Obs_31,Obs_32,Obs_33,Obs_34,Obs_35,Obs_36,Obs_37,Obs_38,Obs_39,Obs_40
132_N,Naive,10,10,10,2,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,10
133_N,Naive,5,2,2,10,10,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
134_N,Naive,5,10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
135_N,Naive,10,10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
136_CFA,CFA ,10,5,10,7,2,2,2,5,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,1,10,10,10,10
137_CFA,CFA ,1,10,5,4,2,10,2,7,7,10,10,10,10,10,2,10,10,10,10,10,10,10,10,10,10,10,10,7,5,10,10,2,10,10,10,10,10,10,2,7
138_CFA,CFA ,2,7,7,7,2,2,7,7,7,5,9,6,2,10,10,10,10,10,10,10,10,10,7,7,10,10,10,10,10,10,2,7,10,10,10,10,5,5,10,10
139_CFA,CFA ,5,10,10,4,2,10,10,2,7,10,10,10,10,10,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,10,10,10,10,10,10
140_N,Naive,5,9,9,5,1,2,1,10,2,5,9,5,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
141_N,Naive,5,5,5,10,2,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
142_N,Naive,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
143_N,Naive,5,5,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
144_CFA,CFA ,5,5,8,2,2,2,10,10,10,2,10,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
145_CFA,CFA ,5,10,2,2,2,10,6,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,2,10,10,10,10,10,10
146_CFA,CFA ,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,1,2,10,10,10,10,10,10,10,10,10,10,10,10,10
147_CFA,CFA ,5,7,5,2,2,6,7,6,2,7,7,2,5,6,6,6,6,6,6,6,2,5,2,2,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
148_CFA,CFA ,5,2,5,2,2,4,1,2,4,2,4,2,7,4,2,4,2,2,2,2,3,3,7,4,2,4,4,4,4,4,10,10,10,10,4,10,5,10,2,2
149_CFA,CFA ,2,7,10,5,10,2,10,10,10,10,10,10,4,2,2,4,5,4,4,2,2,7,2,4,4,4,7,2,4,4,10,10,5,2,4,4,2,1,4,10
150_CFA,CFA ,7,3,1,9,2,2,5,2,4,2,4,4,4,2,4,4,2,2,7,7,4,4,4,4,4,4,4,4,4,4,10,10,10,10,10,4,2,2,4,2
151_CFA,CFA ,1,2,2,1,5,4,7,6,7,1,5,4,4,7,2,4,4,4,2,7,4,4,4,4,4,4,7,4,4,4,10,1,10,10,10,2,4,10,2,2
152_N,Naive,5,10,4,5,1,8,5,9,1,8,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
153_N,Naive,1,10,4,2,7,10,2,10,10,2,10,10,10,10,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
154_N,Naive,5,5,4,10,5,5,8,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
155_N,Naive,5,1,5,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
156_CFA,CFA ,10,5,10,6,2,10,10,2,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
157_CFA,CFA ,5,7,5,6,1,8,2,7,7,4,10,10,10,10,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
158_CFA,CFA ,9,5,7,10,10,10,10,10,10,7,10,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
159_CFA,CFA ,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
160_N,Naive,5,10,10,10,2,1,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
161_N,Naive,5,10,10,10,2,5,10,10,10,10,10,10,10,2,2,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
162_N,Naive,5,5,10,10,10,10,2,5,10,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
163_N,Naive,2,5,10,10,9,5,5,10,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
